"id","id_estructura","id_cronograma","id_estructura_cronograma","hcitacion","hsalida","hllegada","hfinserv","i_v","id_turno","id_estructura_turno","id_TipoServicio","id_estructura_TipoServicio","activo","id","id_estructura","nombre","km","id_cliente","id_estructura_cliente","vacio","activo","tiempo_viaje","ciudades_id_origen","ciudades_id_estructura_origen","ciudades_id_destino","ciudades_id_estructura_destino","claseServicio_id","claseServicio_id_estructura","id_cliente_vacio","id_estructura_cliente_vacio"
688,1,66,1,"15:00:00","15:20:00","17:00:00","16:30:00","v",2,1,2,1,1,66,1,"LIMAZTE",77,10,1,0,1,"00:50:00",6,1,3,1,5,1,,
893,1,48,1,"03:00:00","04:00:00","05:41:00","05:40:00","v",1,1,2,1,1,48,1,"ALSINA - Salida",50,10,1,0,1,"01:30:00",3,1,17,1,5,1,,
1018,1,71,1,"17:00:00","17:20:00","19:30:00","18:30:00","v",2,1,1,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
1031,1,87,1,"22:29:00","22:30:00","23:15:00","23:10:00","v",1,1,2,1,1,87,1,"ZTE 2-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
1032,1,91,1,"22:29:00","22:30:00","23:15:00","23:10:00","v",1,1,2,1,1,91,1,"ZTE 3- SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
1033,1,95,1,"22:29:00","22:30:00","23:15:00","23:10:00","v",1,1,2,1,1,95,1,"ZTE 4-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
1035,1,67,1,"22:29:00","22:30:00","23:58:00","23:30:00","v",1,1,2,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
1038,1,118,1,"22:29:00","22:30:00","23:16:00","23:15:00","v",1,1,2,1,1,118,1,"CNAREF-SAL",34,10,1,0,1,"00:50:00",3,1,1,1,5,1,,
1039,1,127,1,"22:29:00","22:30:00","23:51:00","23:50:00","v",1,1,2,1,1,127,1,"BAR 1-SAL",70,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
1040,1,131,1,"21:59:00","22:00:00","23:21:00","23:20:00","v",1,1,2,1,1,131,1,"BAR 2-SAL",70,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
1041,1,126,1,"22:29:00","22:30:00","23:51:00","23:50:00","v",1,1,2,1,1,126,1,"BARREF-SAL",140,10,1,0,1,"01:40:00",3,1,17,1,5,1,,
1042,1,74,1,"21:59:00","22:00:00","23:21:00","23:20:00","v",1,1,2,1,1,74,1,"S.PEDRO 1-SAL",90,10,1,0,1,"01:20:00",3,1,23,1,5,1,,
1045,1,123,1,"22:29:00","22:30:00","23:59:00","23:58:00","v",1,1,2,1,1,123,1,"BSAS-SAL",91,10,1,0,1,"01:40:00",3,1,27,1,5,1,,
1046,1,140,1,"22:30:00","23:00:00","23:58:00","23:57:00","v",1,1,2,1,1,140,1,"BSASREF-SAL",160,10,1,0,1,"01:10:00",3,1,26,1,5,1,,
1047,1,69,1,"22:29:00","22:30:00","23:51:00","23:50:00","v",1,1,2,1,1,69,1,"DEL VISO-SAL",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
1048,1,71,1,"22:30:00","23:00:00","23:51:00","23:50:00","v",1,1,2,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
1077,1,67,1,"17:02:00","17:20:00","18:01:00","18:00:00","v",2,1,1,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
1423,1,557,1,"15:15:00","15:20:00","16:45:00","16:30:00","v",2,1,2,1,1,557,1,"RUTA 197 - ZTE",120,10,1,0,1,"02:00:00",26,1,3,1,5,1,,
1439,1,643,1,"15:00:00","15:10:00","17:00:00","16:50:00","v",2,1,2,1,1,643,1,"HENRY FORD",120,10,1,0,1,"01:00:00",27,1,3,1,5,1,,
1942,1,898,1,"15:00:00","15:20:00","16:35:00","16:30:00","i",2,1,2,1,1,898,1,"Salida Santa Lucia",90,10,1,0,1,"01:00:00",3,1,161,1,5,1,,
2376,1,689,1,"16:30:00","17:00:00","18:10:00","18:00:00","v",2,1,2,1,1,689,1,"HENRY FORD SAL.",120,10,1,0,1,"01:00:00",3,1,31,1,5,1,,
2382,1,69,1,"16:30:00","17:00:00","18:20:00","18:10:00","v",2,1,2,1,1,69,1,"DEL VISO-SAL",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
