Merlo - Entrada 13 hs;11596;0:11:00;00:11:12;Produccion;Mañana;i
Ref. Escobar 1 ;8319;00:10:00;00:40:00;Produccion;Tarde;v
LUJAN 2 - Salida;185;00:10:00;00:40:00;Produccion;Tarde;v
MERLO-MORENO - SALIDA;11505;00:10:00;00:40:00;Produccion;Tarde;v
Z7 - Carriego - Sal.;3055;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE (Ref. Z3 S. L)-Salida;4528;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabados Pilar Salida;8840;00:10:00;00:40:00;Produccion;Tarde;v
SAN PEDRO 2 - Salida;4136;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Zarate;4406;00:10:00;00:40:00;Produccion;Tarde;v
Alberti - Ref. Del Viso - Sal.;8778;00:10:00;00:40:00;Produccion;Tarde;v
BS AS 6  (H. Ford) -Salida;193;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Zarate. Salida;7487;00:10:00;00:40:00;Produccion;Tarde;v
BENAVIDEZ - SALIDA;11559;00:10:00;00:40:00;Produccion;Tarde;v
BARADERO - 2 Salida;4142;00:10:00;00:40:00;Produccion;Tarde;v
Jose C. Paz - Salida;11534;00:10:00;00:40:00;Produccion;Noche;v
ZARATE 2-(Galesio)-Salida;3035;00:10:00;00:40:00;Produccion;Tarde;v
Back Up Libre en Toyota;2292;00:10:00;00:40:00;Produccion;Tarde;v
ESCOBAR 1 -Salida;166;00:10:00;00:40:00;Produccion;Tarde;v
PILAR - Salida;4405;00:10:00;00:40:00;Produccion;Tarde;v
BAR 2-SAL;123;00:10:00;00:40:00;Produccion;Tarde;v
ZTE 2-SAL;230;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Lujan. Salida;7486;00:10:00;00:40:00;Produccion;Tarde;v
ZTELIMA;177;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 5-(Pellegrini)-Salida;3047;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 6-(R. Noya)-Salida;3249;00:10:00;00:40:00;Produccion;Tarde;v
CAMPANA 1 (Ref.) - Salida;2773;00:10:00;00:40:00;Produccion;Tarde;v
SPEDROREF-SAL;246;00:10:00;00:40:00;Produccion;Tarde;v
NUEVORec. Sabado Lujan;6407;00:10:00;00:40:00;Produccion;Tarde;v
BS AS 3 - HENRY FORD - Salida;4181;00:10:00;00:40:00;Produccion;Tarde;v
CAMPANA 1 - Salida;143;00:10:00;00:40:00;Produccion;Tarde;v
Ref. Del Viso;5629;00:10:00;00:40:00;Produccion;Tarde;v
SAN PEDRO 1 - Salida;4134;00:10:00;00:40:00;Produccion;Tarde;v
Ref. Lujan 2 ;8616;00:10:00;00:40:00;Produccion;Tarde;v
PILAR-SAL;191;00:10:00;00:40:00;Produccion;Tarde;v
C.CASTELAR-SAN MIGUEL - SALIDA;11511;00:10:00;00:40:00;Produccion;Tarde;v
OPEN DOOR - SALIDA;11577;00:10:00;00:40:00;Produccion;Tarde;v
MORENO - Salida;1183;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Bs. As. Salida;7485;00:10:00;00:40:00;Produccion;Tarde;v
Ref. Escobar 1 - Salida;8782;00:10:00;00:40:00;Produccion;Tarde;v
Ref. 202 Salida;8823;00:10:00;00:40:00;Produccion;Tarde;v
CNAREF-SAL;157;00:10:00;00:40:00;Produccion;Tarde;v
ZTE 4-SAL;222;00:10:00;00:40:00;Produccion;Tarde;v
CARDALES - SALIDA;11565;00:10:00;00:40:00;Produccion;Tarde;v
ESCOBAR 2 -(Matheu)- Salida;1075;00:10:00;00:40:00;Produccion;Tarde;v
BSAS-SAL;134;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 3-(S. Lorenzo)-Salida;3039;00:10:00;00:40:00;Produccion;Tarde;v
Adicional a Del Viso;2472;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sab. Campana. Salida;7484;00:10:00;00:40:00;Produccion;Tarde;v
BARREF-SAL;127;00:10:00;00:40:00;Produccion;Tarde;v
S.PEDRO 1-SAL;197;00:10:00;00:40:00;Produccion;Tarde;v
Refuerzo H. Ford;7736;00:10:00;00:40:00;Produccion;Tarde;v
LUJAN 1 - Salida;181;00:10:00;00:40:00;Produccion;Tarde;v
Z6 - R. Noya - Sal.;3051;00:10:00;00:40:00;Produccion;Tarde;v
DEL VISO-SAL;163;00:10:00;00:40:00;Produccion;Tarde;v
Back Up Libre en Toyota;2795;00:10:00;00:40:00;Produccion;Tarde;v
San Pedro 3 - Salida;11542;00:10:00;00:40:00;Produccion;Tarde;v
ALSINA - Salida;701;00:10:00;00:40:00;Produccion;Tarde;v
HENRY FORD SAL.;1492;00:10:00;00:40:00;Produccion;Tarde;v
Ref. Pilar - Salida;8592;00:10:00;00:40:00;Produccion;Tarde;v
DEL VISO - Salida;4303;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE (Ref. Z4-Lav)-Salida;3130;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sab. Baradero. Salida;7483;00:10:00;00:40:00;Produccion;Tarde;v
BS AS 2 - RUTA 197 - Salida;4185;00:10:00;00:40:00;Produccion;Tarde;v
CAMPANA 2 - Salida;147;00:10:00;00:40:00;Produccion;Tarde;v
ZTEREF-SAL;209;00:10:00;00:40:00;Produccion;Tarde;v
BARADERO - 3 Salida;4138;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Lima. Salida;8821;00:10:00;00:40:00;Produccion;Tarde;v
ZTE 1-SAL;233;00:10:00;00:40:00;Produccion;Tarde;v
Garin - Salida;11523;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 1-(P. Ind.)-Salida;3031;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabados Ruta 8 Salida;11584;00:10:00;00:40:00;Produccion;Tarde;v
LIMA - Salida;4276;00:10:00;00:40:00;Produccion;Tarde;v
Ref. Lujan 2 - Salida;8786;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE (Ref. Z3 S. L)-Entrada;3265;00:10:00;00:40:00;Produccion;Tarde;v
CAMPANA 2 (Ref.) - Salida;2791;00:10:00;00:40:00;Produccion;Tarde;v
Gualeguaychu - Salida;11251;00:10:00;00:40:00;Produccion;Tarde;v
Lima - Alsina - Salida;9839;00:10:00;00:40:00;Produccion;Tarde;v
BAR 1-SAL;119;00:10:00;00:40:00;Produccion;Tarde;v
ZTE 3- SAL;226;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sab. S. Pedro. Salida;7482;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE (Ref.Z6 R. Noya)-Salida;8451;00:10:00;00:40:00;Produccion;Tarde;v
REF. JOSE C. PAZ - SALIDA;11549;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 4-(Lavalle)-Salida;3043;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabado Bs. As.;4412;00:10:00;00:40:00;Produccion;Tarde;v
Adicional Zarate;2763;00:10:00;00:40:00;Produccion;Tarde;v
Ibicuy - Salida;11122;00:10:00;00:40:00;Produccion;Tarde;v
Rec. Sabados Escobar. Salida;7488;00:10:00;00:40:00;Produccion;Tarde;v
BARADERO - 1 Salida;3717;00:10:00;00:40:00;Produccion;Tarde;v
ZARATE 2-(Los Ciebos)-Salida;8432;00:10:00;00:40:00;Produccion;Tarde;v
BS AS 1 - C. Y S. FE - Salida;4458;00:10:00;00:40:00;Produccion;Tarde;v
BSASREF-SAL;244;00:30:00;01:00:00;Produccion;Tarde;v
VACIO-TASA Adm;805;00:59:00;01:00:00;Produccion;Tarde;v
REF ESCOBAR;958;00:30:00;01:00:00;Produccion;Tarde;v
HENRY FORD;1458;00:50:00;01:00:00;Produccion;Tarde;v
BACK-UP  ZTE;1299;00:55:00;01:00:00;Produccion;Tarde;v
ZARATE 2-(Los Ciebos)-Salida;9590;01:10:00;01:40:00;Produccion;Tarde;v
LUJAN 1 - Salida;9577;01:10:00;01:40:00;Produccion;Tarde;v
Adicional Zarate;2676;01:10:00;01:40:00;Produccion;Tarde;v
BARADERO - 2 Salida;9564;01:10:00;01:40:00;Produccion;Tarde;v
Ref. Escobar 1 - Salida;9583;01:10:00;01:40:00;Produccion;Tarde;v
CAMPANA 1 - Salida;9570;01:10:00;01:40:00;Produccion;Tarde;v
